kernel,kernel_size,noise_std,lambda,filt_nrmse,filt_snr_db,filt_spectral_cos,recon_nrmse,recon_snr_db,recon_spectral_cos
moving_average,11,0.05,0.1,0.14478614926338196,16.785459518432617,0.9921482801437378,0.15606002509593964,16.134166717529297,0.9941513538360596
gaussian,11,0.05,0.0001,0.10249029844999313,19.786346435546875,0.9972132444381714,0.15374578535556793,16.263935089111328,0.9932076334953308
gaussian,11,0.05,0.001,0.10249029844999313,19.786346435546875,0.9972132444381714,0.1407628208398819,17.030241012573242,0.9946340918540955
gaussian,11,0.05,0.01,0.10249029844999313,19.786346435546875,0.9972132444381714,0.12435171753168106,18.106964111328125,0.9960693120956421
gaussian,11,0.05,0.1,0.10249029844999313,19.786346435546875,0.9972132444381714,0.13592299818992615,17.33414077758789,0.9972679018974304
moving_average,21,0.0,0.0001,0.24249067902565002,12.306098937988281,0.9783109426498413,0.0323558934032917,29.800931930541992,0.9995999932289124
moving_average,21,0.0,0.001,0.24249067902565002,12.306098937988281,0.9783109426498413,0.047882404178380966,26.396482467651367,0.9988999962806702
moving_average,21,0.0,0.01,0.24249067902565002,12.306098937988281,0.9783109426498413,0.08439628034830093,21.473533630371094,0.9966058731079102
moving_average,21,0.0,0.1,0.24249067902565002,12.306098937988281,0.9783109426498413,0.18749673664569855,14.540124893188477,0.9891799092292786
gaussian,21,0.0,0.0001,0.1245618686079979,18.092296600341797,0.9928174614906311,0.035590045154094696,28.97342872619629,0.999567449092865
gaussian,21,0.0,0.001,0.1245618686079979,18.092296600341797,0.9928174614906311,0.03765665739774704,28.483163833618164,0.9993270635604858
gaussian,21,0.0,0.01,0.1245618686079979,18.092296600341797,0.9928174614906311,0.051560621708631516,25.75363540649414,0.9987586736679077
gaussian,21,0.0,0.1,0.1245618686079979,18.092296600341797,0.9928174614906311,0.13481703400611877,17.405105590820312,0.995954692363739
moving_average,21,0.02,0.0001,0.2432146817445755,12.280204772949219,0.9783133864402771,0.08418379724025726,21.49542999267578,0.9976277351379395
moving_average,21,0.02,0.001,0.2432146817445755,12.280204772949219,0.9783133864402771,0.07684990018606186,22.287132263183594,0.9979220032691956
moving_average,21,0.02,0.01,0.2432146817445755,12.280204772949219,0.9783133864402771,0.09146859496831894,20.774559020996094,0.996431827545166
moving_average,21,0.02,0.1,0.2432146817445755,12.280204772949219,0.9783133864402771,0.1888045370578766,14.479751586914062,0.9891189932823181
gaussian,21,0.02,0.0001,0.12704163789749146,17.921077728271484,0.9927181601524353,0.056954413652420044,24.88945198059082,0.9990942478179932
gaussian,21,0.02,0.001,0.12704163789749146,17.921077728271484,0.9927181601524353,0.05544416978955269,25.122882843017578,0.9989467263221741
gaussian,21,0.02,0.01,0.12704163789749146,17.921077728271484,0.9927181601524353,0.06273535639047623,24.04975128173828,0.9984734058380127
gaussian,21,0.02,0.1,0.12704163789749146,17.921077728271484,0.9927181601524353,0.13774025440216064,17.218782424926758,0.9957735538482666
moving_average,21,0.05,0.0001,0.24690665304660797,12.149344444274902,0.9781407117843628,0.1961057037115097,14.150195121765137,0.9862274527549744
moving_average,21,0.05,0.001,0.24690665304660797,12.149344444274902,0.9781407117843628,0.15690433979034424,16.08730125427246,0.9919163584709167
moving_average,21,0.05,0.01,0.24690665304660797,12.149344444274902,0.9781407117843628,0.12092216312885284,18.349882125854492,0.9952170848846436
moving_average,21,0.05,0.1,0.24690665304660797,12.149344444274902,0.9781407117843628,0.19390420615673065,14.248255729675293,0.9887893199920654
gaussian,21,0.05,0.0001,0.13847555220127106,17.17253875732422,0.992220401763916,0.11554089933633804,18.745285034179688,0.9965351223945618
gaussian,21,0.05,0.001,0.13847555220127106,17.17253875732422,0.992220401763916,0.10752518475055695,19.369796752929688,0.9969678521156311
gaussian,21,0.05,0.01,0.13847555220127106,17.17253875732422,0.992220401763916,0.10178635269403458,19.846208572387695,0.9970720410346985
gaussian,21,0.05,0.1,0.13847555220127106,17.17253875732422,0.992220401763916,0.15006069839000702,16.474660873413086,0.9949231147766113
moving_average,31,0.0,0.0001,0.3539476990699768,9.021218299865723,0.9459237456321716,0.03768695890903473,28.476179122924805,0.9994559288024902
moving_average,31,0.0,0.001,0.3539476990699768,9.021218299865723,0.9459237456321716,0.06735572963953018,23.432510375976562,0.9978130459785461
moving_average,31,0.0,0.01,0.3539476990699768,9.021218299865723,0.9459237456321716,0.14329639077186584,16.875293731689453,0.9902344346046448
moving_average,31,0.0,0.1,0.3539476990699768,9.021218299865723,0.9459237456321716,0.2919149696826935,10.694873809814453,0.9661290645599365
gaussian,31,0.0,0.0001,0.18280450999736786,14.760261535644531,0.9848455786705017,0.05291682854294777,25.52812385559082,0.9988595247268677
gaussian,31,0.0,0.001,0.18280450999736786,14.760261535644531,0.9848455786705017,0.07532601058483124,22.461101531982422,0.9972071647644043
gaussian,31,0.0,0.01,0.18280450999736786,14.760261535644531,0.9848455786705017,0.10730496793985367,19.387603759765625,0.9943398237228394
gaussian,31,0.0,0.1,0.18280450999736786,14.760261535644531,0.9848455786705017,0.17290247976779938,15.243976593017578,0.9907374382019043
moving_average,31,0.02,0.0001,0.3543444573879242,9.011487007141113,0.9459308385848999,0.08239929378032684,21.681529998779297,0.9977477192878723
moving_average,31,0.02,0.001,0.3543444573879242,9.011487007141113,0.9459308385848999,0.08444637060165405,21.468381881713867,0.9972096085548401
moving_average,31,0.02,0.01,0.3543444573879242,9.011487007141113,0.9459308385848999,0.14606361091136932,16.70915985107422,0.9901589751243591
moving_average,31,0.02,0.1,0.3543444573879242,9.011487007141113,0.9459308385848999,0.29247546195983887,10.678211212158203,0.9660916328430176
gaussian,31,0.02,0.0001,0.1839636266231537,14.705361366271973,0.9847732782363892,0.06377216428518295,23.90737533569336,0.9985414147377014
gaussian,31,0.02,0.001,0.1839636266231537,14.705361366271973,0.9847732782363892,0.08221837878227234,21.70062255859375,0.9969591498374939
gaussian,31,0.02,0.01,0.1839636266231537,14.705361366271973,0.9847732782363892,0.11111560463905334,19.08449935913086,0.9941598176956177
gaussian,31,0.02,0.1,0.1839636266231537,14.705361366271973,0.9847732782363892,0.17441020905971527,15.168561935424805,0.9906236529350281
moving_average,31,0.05,0.0001,0.3558426797389984,8.974839210510254,0.9459493160247803,0.18668441474437714,14.577837944030762,0.9877676963806152
moving_average,31,0.05,0.001,0.3558426797389984,8.974839210510254,0.9459493160247803,0.14363564550876617,16.854755401611328,0.9933032393455505
moving_average,31,0.05,0.01,0.3558426797389984,8.974839210510254,0.9459493160247803,0.15935730934143066,15.952560424804688,0.989557147026062
moving_average,31,0.05,0.1,0.3558426797389984,8.974839210510254,0.9459493160247803,0.29466092586517334,10.613550186157227,0.9659267663955688
gaussian,31,0.05,0.0001,0.18921415507793427,14.460927963256836,0.9844651818275452,0.1053345575928688,19.548582077026367,0.9969885349273682
gaussian,31,0.05,0.001,0.18921415507793427,14.460927963256836,0.9844651818275452,0.11210121214389801,19.007793426513672,0.99567049741745
gaussian,31,0.05,0.01,0.18921415507793427,14.460927963256836,0.9844651818275452,0.12945614755153656,17.75754737854004,0.9931805729866028
gaussian,31,0.05,0.1,0.18921415507793427,14.460927963256836,0.9844651818275452,0.1812669038772583,14.833630561828613,0.9900110960006714
